--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'pid': 5108, 'name': 'RtkAudUService64.exe', 'username': None, 'vms': 5.4609375} 

{'pid': 5116, 'name': 'ipfsvc.exe', 'username': None, 'vms': 1.80078125} 

{'pid': 5152, 'name': 'mysqld.exe', 'username': None, 'vms': 33.1484375} 

{'pid': 5164, 'name': 'svchost.exe', 'username': None, 'vms': 1.921875} 

{'pid': 5236, 'name': 'svchost.exe', 'username': None, 'vms': 1.765625} 

{'pid': 5308, 'name': 'IntelConnect.exe', 'username': None, 'vms': 39.71875} 

{'pid': 5380, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.33984375} 

{'pid': 5484, 'name': 'MoUsoCoreWorker.exe', 'username': None, 'vms': 6.5390625} 

{'pid': 5716, 'name': 'svchost.exe', 'username': None, 'vms': 2.515625} 

{'pid': 5972, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 114.5625} 

{'pid': 5984, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 87.2578125} 

{'pid': 6160, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 33.8671875} 

{'pid': 6184, 'name': 'mysqld.exe', 'username': None, 'vms': 586.54296875} 

{'pid': 6192, 'name': 'sqlservr.exe', 'username': None, 'vms': 505.90625} 

{'pid': 6284, 'name': 'conhost.exe', 'username': None, 'vms': 1.5703125} 

{'pid': 6384, 'name': 'Copilot.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 69.66796875} 

{'pid': 6404, 'name': 'wlanext.exe', 'username': None, 'vms': 1.75390625} 

{'pid': 6868, 'name': 'svchost.exe', 'username': None, 'vms': 1.65625} 

{'pid': 6920, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 21.76953125} 

{'pid': 7020, 'name': 'msedge.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.28125} 

{'pid': 7156, 'name': 'conhost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 1.3984375} 

{'pid': 7160, 'name': 'cmd.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.17578125} 

{'pid': 7180, 'name': 'IntelConnectService.exe', 'username': None, 'vms': 14.15625} 

{'pid': 7184, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 12.1796875} 

{'pid': 7284, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 102.42578125} 

{'pid': 7480, 'name': 'svchost.exe', 'username': None, 'vms': 2.8203125} 

{'pid': 7512, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 141.21875} 

{'pid': 7592, 'name': 'svchost.exe', 'username': None, 'vms': 1.96875} 

{'pid': 7640, 'name': 'cmd.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 1.88671875} 

{'pid': 7704, 'name': 'WUDFHost.exe', 'username': None, 'vms': 5.5078125} 

{'pid': 7712, 'name': 'conhost.exe', 'username': None, 'vms': 1.65625} 

{'pid': 8160, 'name': 'svchost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.12109375} 

{'pid': 8444, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 10.55859375} 

{'pid': 9008, 'name': 'SDXHelper.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 14.23046875} 

{'pid': 9068, 'name': 'DellOptimizer.exe', 'username': None, 'vms': 133.08203125} 

{'pid': 9092, 'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'username': None, 'vms': 74.14453125} 

{'pid': 9108, 'name': 'Dell.TechHub.Instrumentation.SubAgent.exe', 'username': None, 'vms': 242.44140625} 

